"","method","datalength","featureset","seconds","cor","corll","corul","rmse"
"42","knn","same","all",2,0.594509676706304,0.465400473312704,0.698846115278481,19.2530446049064
"43","knn","max","du",2,0.635934314831636,0.570431020403691,0.693399326337929,17.5563041953404
"44","knn","same","du",2,0.594509676706304,0.465400473312704,0.698846115278481,19.2530446049064
"45","knn","max","rms",2,0.619726577778877,0.552105551683896,0.679248267368458,17.8487156889037
"46","knn","same","rms",2,0.604616414778202,0.477671068410637,0.706830438953416,19.102294718272
"47","knn","max","hudgins",2,0.428819330934659,0.341061339511269,0.509167368852628,20.6102699195464
"48","knn","same","hudgins",2,0.279605529730343,0.106420287814988,0.436325651156053,23.4685900059127
"49","svmPoly","max","all",2,0.504990832168195,0.424219947850069,0.577790069471624,19.892879328234
"50","svmPoly","same","all",2,0.415797515877013,0.256325021176594,0.553233904091111,22.0992744296342
"51","svmPoly","max","du",2,0.474678135917587,0.390962709288934,0.550604184223489,20.3293530017697
"52","svmPoly","same","du",2,0.39499674818334,0.232922549166168,0.535721911771717,22.2737006470736
"53","svmPoly","max","rms",2,0.416514695627161,0.327755652337058,0.497985479459375,21.3492880222967
"54","svmPoly","same","rms",2,0.371976403277735,0.207239873761419,0.516199120849618,22.7078677516343
"55","svmPoly","max","hudgins",2,0.396956278385012,0.306678264026821,0.480155753539319,21.3184690067685
"56","svmPoly","same","hudgins",2,0.370592132731188,0.205702714666907,0.515020370302199,22.5833173286853
"57","ranger","max","all",2,0.719755956788794,0.666257287087085,0.765883770808469,16.0786184938941
"58","ranger","same","all",2,0.705589507159257,0.60304345198796,0.785194497926748,17.6898050359333
"59","ranger","max","du",2,0.722382496138019,0.669288812357065,0.76813627274112,15.9377753683046
"60","ranger","same","du",2,0.699162508801626,0.594909548481313,0.780281415536022,17.588136459497
"61","ranger","max","rms",2,0.669373710992583,0.608446873688508,0.722456030993454,17.0117067934915
"62","ranger","same","rms",2,0.718772701179046,0.619794882688369,0.795241051026095,17.5169830909234
"63","ranger","max","hudgins",2,0.654298739739279,0.591274083780068,0.709380010671633,17.2145446459575
"64","ranger","same","hudgins",2,0.658359541669462,0.543763296835873,0.748854513771604,18.289690584972
"65","lm","max","all",3,0.378483205873431,0.265027963318629,0.481601711989891,20.1150778613697
"66","lm","same","all",3,0.400779656247293,0.239409983270991,0.540602673289909,18.5585468049938
"67","lm","max","du",3,0.378116208014002,0.264629710352629,0.481272691157125,20.1633582182257
"68","lm","same","du",3,0.320690363224655,0.150827518429675,0.472159485798596,19.1812686265175
"69","lm","max","rms",3,0.0575200751409964,-0.0690856661645736,0.182302361443887,21.8037616752326
"70","lm","same","rms",3,0.160522907769801,-0.0185038091664765,0.329576165005898,19.9481611428812
"71","lm","max","hudgins",3,0.354874415300724,0.239487152803316,0.460376587317608,20.3854503386503
"72","lm","same","hudgins",3,0.296066529327949,0.12412987046836,0.450742727980133,19.3140376929558
"73","knn","max","all",3,0.634887548677322,0.553062342573761,0.704581767724822,16.9491427950077
"74","knn","same","all",3,0.652546411517408,0.536545200962439,0.744343807472197,15.5138010582651
"75","knn","max","du",3,0.634887548677322,0.553062342573761,0.704581767724822,16.9491427950077
"76","knn","same","du",3,0.639964633438538,0.52098046504038,0.734552190299889,15.6493401378567
"77","knn","max","rms",3,0.668787632941714,0.592666881246008,0.733067396381448,16.1694709447653
"78","knn","same","rms",3,0.574385643267321,0.441114777204714,0.682870318213248,16.9463909222364
"79","knn","max","hudgins",3,0.462764763195079,0.357524091742786,0.556399695395776,19.439249273181
"80","knn","same","hudgins",3,0.362269414779686,0.196477897601784,0.507921776678668,19.2751994263938
"81","svmPoly","max","all",3,0.512609399652975,0.413216058969014,0.599932911825237,18.7948284132666
"82","svmPoly","same","all",3,0.429345420282361,0.271668670757954,0.564574818528943,18.5472369300539
"83","svmPoly","max","du",3,0.481226515750763,0.378064705434197,0.572583947387523,19.1914913197903
"84","svmPoly","same","du",3,0.405486144183819,0.244700514982115,0.544568003232959,18.9405913462088
"85","svmPoly","max","rms",3,0.454805370166,0.348699742528061,0.549400211614298,19.651574892168
"86","svmPoly","same","rms",3,0.415618310648683,0.256122599832431,0.553083549694196,18.6880208665589
"87","svmPoly","max","hudgins",3,0.462711549621494,0.357465032925842,0.556352943505854,19.4550133604923
"88","svmPoly","same","hudgins",3,0.367840267910158,0.202649329186015,0.51267544615131,19.3377760508955
"89","ranger","max","all",3,0.766140847921895,0.708485802382874,0.813636841059082,14.2290792037394
"90","ranger","same","all",3,0.68218789931607,0.573528939548859,0.767256952717882,14.8955178474318
"91","ranger","max","du",3,0.744219320426308,0.682132487053469,0.795652369746888,14.6483877962124
"92","ranger","same","du",3,0.66911371934467,0.55716147832804,0.757177188439749,15.1721679934461
"93","ranger","max","rms",3,0.715746219730098,0.648142202489663,0.772156813512201,15.263588282084
"94","ranger","same","rms",3,0.696040417471755,0.590965971302934,0.777891132090808,14.6764437694949
"95","ranger","max","hudgins",3,0.722399340378979,0.65606044252516,0.777660709511389,15.1620738399913
"96","ranger","same","hudgins",3,0.638757530793814,0.519491324158754,0.733610701707006,15.6590257036369
"97","lm","max","all",4,0.424147049658969,0.265771774371795,0.560229305357203,20.0179617328673
"98","lm","same","all",4,0.348880641950171,0.181699246688277,0.496460593971136,19.7683938136871
"99","lm","max","du",4,0.350989636993326,0.184022174538973,0.498269376273802,20.6673359237084
"100","lm","same","du",4,0.279287862580355,0.106079602557912,0.436046634279996,20.3329645514605
"101","lm","max","rms",4,0.199391160894274,0.021665726438828,0.364900648047165,21.5925621325945
"102","lm","same","rms",4,0.28381595572669,0.110939644972435,0.440020953540968,20.4163261857271
"103","lm","max","hudgins",4,0.319950947992315,0.150022204960322,0.471518967692388,20.8820860508804
"104","lm","same","hudgins",4,0.275921471443259,0.102471780398109,0.433087975795118,20.2749489523946
"105","knn","max","all",4,0.456932101831236,0.303161678053755,0.587510786224396,20.01325248229
"106","knn","same","all",4,0.616368707737346,0.492002086763032,0.716082116377763,17.1451267682927
"107","knn","max","du",4,0.456932101831236,0.303161678053755,0.587510786224396,20.01325248229
"108","knn","same","du",4,0.602440190654126,0.475024722948463,0.705113419145721,17.1957321129691
"109","knn","max","rms",4,0.480174088927197,0.329958068775321,0.606673032953742,19.5649426080045
"110","knn","same","rms",4,0.572814703256251,0.439227143429659,0.68161882003279,18.0473939878329
"111","knn","max","hudgins",4,0.266921100031196,0.0928482775882409,0.425161049759996,21.9119912996991
"112","knn","same","hudgins",4,0.454536368843786,0.30041332113331,0.585527223234765,18.8779177342693
"113","svmPoly","max","all",4,0.410533428932212,0.250384793044362,0.548813564625414,20.6403725752262
"114","svmPoly","same","all",4,0.496079316196928,0.348436272247035,0.619702187302589,18.4631632358506
"115","svmPoly","max","du",4,0.400553457666636,0.239155956068545,0.540411938912682,20.6523684230359
"116","svmPoly","same","du",4,0.453852560254342,0.29962933311906,0.584960771494659,18.9982293185331
"117","svmPoly","max","rms",4,0.399385954661173,0.237845169421813,0.539427252498424,20.5265494059259
"118","svmPoly","same","rms",4,0.371102305701598,0.2062691400576,0.515454862438053,20.1763630570389
"119","svmPoly","max","hudgins",4,0.41815696804043,0.258991446489254,0.555212665658694,20.3754297409662
"120","svmPoly","same","hudgins",4,0.421906314177241,0.263233592405388,0.558353877409262,19.3579461348367
"121","ranger","max","all",4,0.529904601825026,0.388118719460629,0.647186284896578,18.6857207837888
"122","ranger","same","all",4,0.702881184159624,0.599613241365061,0.783125356842667,15.1505891704499
"123","ranger","max","du",4,0.480214437155504,0.330004798917256,0.606706171396449,19.4477348950424
"124","ranger","same","du",4,0.66431267521528,0.551172846659418,0.75346518263528,15.8251069105013
"125","ranger","max","rms",4,0.524538152146672,0.381787734752198,0.642846131164073,18.7612555291618
"126","ranger","same","rms",4,0.641801146359106,0.52324746733179,0.735983893868055,16.3033920757647
"127","ranger","max","hudgins",4,0.439942195876111,0.283726156410976,0.573409904774731,19.985593611322
"128","ranger","same","hudgins",4,0.63753668512946,0.517985965743076,0.732658123639545,16.2936557495437
"129","lm","max","all",5,0.463116818324013,0.310268558477483,0.592624219282309,20.0014946493716
"130","lm","same","all",5,0.393149522161532,0.230853312745806,0.534160873005045,19.408627042643
