"","method","datalength","featureset","seconds","ntraindata","ntestdata","cor","corll","corul","rmse"
"24","svmPoly","same","hudgins",1,173,19,0.447859497156962,-0.00797133335858882,0.749586451447557,24.2840183917245
"25","ranger","max","all",1,1210,134,0.900653329165135,0.862858197550523,0.928432602539203,9.25045949390577
"26","ranger","same","all",1,173,19,0.727751075802194,0.408607542448873,0.888323783554429,16.057725388625
"27","ranger","max","du",1,1210,134,0.903586238341427,0.866828714598641,0.930575368432099,9.13692071309157
"28","ranger","same","du",1,173,19,0.655474528799466,0.28658938412847,0.855100928214276,17.7212890972234
"29","ranger","max","rms",1,1210,134,0.888118818996511,0.845941618502993,0.919254087443957,9.77541123266195
"30","ranger","same","rms",1,173,19,0.659283808423002,0.292734779708286,0.856893817684795,17.9437266490196
"31","ranger","max","hudgins",1,1210,134,0.897636295037253,0.858778655104851,0.926226445152051,9.39433267621105
"32","ranger","same","hudgins",1,173,19,0.662031175187841,0.29718589889114,0.858183942713665,17.5689610768038
"33","lm","max","all",2,518,58,0.834413704529108,0.734399849708776,0.898960530651468,12.4558351351995
"34","lm","same","all",2,173,19,0.769178448782744,0.484097246433718,0.90663758168092,13.9413899248665
"35","lm","max","du",2,518,58,0.835689454052749,0.736335396822463,0.899766155800319,12.3627231248447
"36","lm","same","du",2,173,19,0.803690554512485,0.550402091304498,0.921508834259813,12.330144920929
"37","lm","max","rms",2,518,58,0.778248626024879,0.650769438037778,0.863054604051529,13.9618409840751
"38","lm","same","rms",2,173,19,0.660897916339842,0.295347937259437,0.857652080273152,15.8153933479467
"39","lm","max","hudgins",2,518,58,0.834605281919806,0.734690404149024,0.899081538041152,12.2374757392961
"40","lm","same","hudgins",2,173,19,0.738850206675681,0.42841324621456,0.893280983008182,14.7426382392425
"41","knn","max","all",2,518,58,0.846650483025732,0.753032571804341,0.906670001934855,11.6806943581987
"42","knn","same","all",2,173,19,0.860519106848811,0.667017432121366,0.945265801186105,10.3087086331999
"43","knn","max","du",2,518,58,0.846650483025732,0.753032571804341,0.906670001934855,11.6806943581987
"44","knn","same","du",2,173,19,0.860519106848811,0.667017432121366,0.945265801186105,10.3087086331999
"45","knn","max","rms",2,518,58,0.877855468047283,0.801237342830652,0.926150084075288,10.5131331437033
"46","knn","same","rms",2,173,19,0.799982803301885,0.543122187656331,0.91992756198761,12.2348950780074
"47","knn","max","hudgins",2,518,58,0.77306888114471,0.643209441316876,0.859699494913137,13.9032722457722
"48","knn","same","hudgins",2,173,19,0.796965033987716,0.537225383690628,0.918637664807895,12.1241680783443
"49","svmPoly","max","all",2,518,58,0.845614424583752,0.751449144693678,0.906018809562892,11.8861758449066
"50","svmPoly","same","all",2,173,19,0.780144123033042,0.50481558600746,0.911399999498013,13.7976329673614
"51","svmPoly","max","du",2,518,58,0.832663335451408,0.73174686176347,0.897854476179364,12.5095860684888
"52","svmPoly","same","du",2,173,19,0.771873323062981,0.489159437448919,0.907811227287517,13.2375764548607
"53","svmPoly","max","rms",2,518,58,0.849810528387437,0.757868833612361,0.908654415630698,12.1665946303751
"54","svmPoly","same","rms",2,173,19,0.786665248689685,0.517288746275993,0.914215566503316,12.4221073209885
"55","svmPoly","max","hudgins",2,518,58,0.836774746608649,0.737983266667169,0.900451165288341,12.5303024472181
"56","svmPoly","same","hudgins",2,173,19,0.756700894049021,0.460904878556313,0.901175607636371,13.3163044151907
"57","ranger","max","all",2,518,58,0.838597991767218,0.740754272460149,0.901601241363591,12.2056692987136
"58","ranger","same","all",2,173,19,0.838399737668503,0.620471580035725,0.936124456091032,10.7383507100954
"59","ranger","max","du",2,518,58,0.825736046755778,0.721277267929958,0.893469050657954,12.6360400669992
"60","ranger","same","du",2,173,19,0.859720523739489,0.665310271534812,0.944938066612638,10.0516806646211
"61","ranger","max","rms",2,518,58,0.854890928290443,0.765665323400325,0.911839192066072,11.5656000523558
"62","ranger","same","rms",2,173,19,0.791970047863345,0.527520523435598,0.916496923280129,12.294961561655
"63","ranger","max","hudgins",2,518,58,0.82367741766622,0.718175121173195,0.892163309970059,12.6937558358891
"64","ranger","same","hudgins",2,173,19,0.776946031419834,0.498740227448523,0.910014682976826,12.7170538568036
"65","lm","max","all",3,346,38,0.811319374658076,0.663803652987851,0.89807360103137,12.8139654327517
"66","lm","same","all",3,173,19,0.726268864676907,0.405985184425119,0.887658939667712,15.4749539296984
"67","lm","max","du",3,346,38,0.805357855974386,0.654071396541922,0.894693793139542,12.9622429418451
"68","lm","same","du",3,173,19,0.747849945989686,0.444694743693987,0.897273141482652,14.7028572248281
"69","lm","max","rms",3,346,38,0.755137402270607,0.574026939065404,0.865810013686274,14.3441410716895
"70","lm","same","rms",3,173,19,0.670947724628972,0.311742038783254,0.862354028285394,16.8104546216199
"71","lm","max","hudgins",3,346,38,0.758139583634281,0.578716664834755,0.867557666858805,14.1710198799058
"72","lm","same","hudgins",3,173,19,0.776604527084359,0.498093089071006,0.90986657781935,13.935704720332
"73","knn","max","all",3,346,38,0.938549886252258,0.88414402174371,0.967842855177188,7.55708102935323
"74","knn","same","all",3,173,19,0.830269297571516,0.603740064551743,0.932730837848484,12.3864102101754
"75","knn","max","du",3,346,38,0.938549886252258,0.88414402174371,0.967842855177188,7.55708102935323
"76","knn","same","du",3,173,19,0.830269297571516,0.603740064551743,0.932730837848484,12.3864102101754
"77","knn","max","rms",3,346,38,0.857027374841796,0.740120224665859,0.923651190607901,11.2167877099735
"78","knn","same","rms",3,173,19,0.768280211320365,0.482414180504752,0.9062459167017,14.3856280470196
"79","knn","max","hudgins",3,346,38,0.868542655695301,0.759833679139126,0.930002727403937,11.1374664037535
"80","knn","same","hudgins",3,173,19,0.750269022197582,0.449105544861476,0.898342058904081,14.8896997248009
"81","svmPoly","max","all",3,346,38,0.853537241016778,0.734184746432511,0.921718866399317,11.5180297333657
"82","svmPoly","same","all",3,173,19,0.611898179233716,0.218384445934071,0.834245696556592,21.009207128364
"83","svmPoly","max","du",3,346,38,0.844045999810623,0.718135254184072,0.9164468356898,11.9411347231172
"84","svmPoly","same","du",3,173,19,0.547197091850042,0.123743183952792,0.802060625722229,24.4319125770893
"85","svmPoly","max","rms",3,346,38,0.813024102972029,0.666595859775745,0.899038195285159,12.9249237284711
"86","svmPoly","same","rms",3,173,19,0.80040439953992,0.543948020341973,0.920107560093353,13.2906314853418
"87","svmPoly","max","hudgins",3,346,38,0.849160030305991,0.726766363901991,0.919290615318724,11.8505630225465
"88","svmPoly","same","hudgins",3,173,19,0.494389959930541,0.051816378752193,0.774647178699699,28.1517254024113
"89","ranger","max","all",3,346,38,0.901053493133239,0.816590506364274,0.947738937691306,9.84067155441642
"90","ranger","same","all",3,173,19,0.711017511774541,0.379305091755985,0.880778662640867,15.8104892007736
"91","ranger","max","du",3,346,38,0.925490687446035,0.860355534839689,0.960883297337599,8.6713363921058
"92","ranger","same","du",3,173,19,0.732229148748731,0.416562376672151,0.890328336749194,15.2410315416
"93","ranger","max","rms",3,346,38,0.85710536407507,0.740253065044512,0.923694330946448,11.4452539852828
"94","ranger","same","rms",3,173,19,0.727858960543042,0.40879862026096,0.88837214884921,15.2528501247418
"95","ranger","max","hudgins",3,346,38,0.92111087375539,0.852440358198816,0.958539137917518,8.80957246415671
"96","ranger","same","hudgins",3,173,19,0.686440474410174,0.337441174914676,0.869538428122171,16.3903205631229
"97","lm","max","all",4,173,19,0.809850448461251,0.562582350954469,0.924127282092509,13.1962551070448
"98","lm","same","all",4,173,19,0.717802298867003,0.391106397138155,0.883848330889955,13.0503279423705
"99","lm","max","du",4,173,19,0.809411237199111,0.561710308440821,0.923940936872886,13.145713769442
"100","lm","same","du",4,173,19,0.710945718286662,0.379180790167804,0.880746104360739,13.1892123678411
"101","lm","max","rms",4,173,19,0.757667243735619,0.462686739726121,0.901600266819747,14.2913085083903
"102","lm","same","rms",4,173,19,0.7192320819563,0.39360711066185,0.884493394068586,12.9908044141501
"103","lm","max","hudgins",4,173,19,0.810109469195694,0.563096887925035,0.924237151965323,13.0876763694103
"104","lm","same","hudgins",4,173,19,0.694050162470808,0.35025744387338,0.873039088969944,13.5651572839012
"105","knn","max","all",4,173,19,0.91998522775041,0.800117856657142,0.969199258065263,9.10500151738477
"106","knn","same","all",4,173,19,0.732142969090215,0.416408829864622,0.890289817256473,13.4495516797654
"107","knn","max","du",4,173,19,0.91998522775041,0.800117856657142,0.969199258065263,9.10500151738477
"108","knn","same","du",4,173,19,0.732142969090215,0.416408829864622,0.890289817256473,13.4495516797654
"109","knn","max","rms",4,173,19,0.933055422639408,0.831045057391315,0.974337922395517,8.07909343958748
"110","knn","same","rms",4,173,19,0.703836570927185,0.366931188311795,0.877514144441143,13.3688561885254
"111","knn","max","hudgins",4,173,19,0.757081468915268,0.461606339526609,0.901342883117632,14.2983778458452
"112","knn","same","hudgins",4,173,19,0.678834092570878,0.324758481441406,0.86602080398504,14.1425533498169
"113","svmPoly","max","all",4,173,19,0.830438046736147,0.604085314654184,0.9328014581312,12.4205164651501
"114","svmPoly","same","all",4,173,19,0.77728385785739,0.499380701666291,0.91016115967563,11.8294156594842
"115","svmPoly","max","du",4,173,19,0.814160902544443,0.571169942481681,0.925953208576372,13.0033240752672
"116","svmPoly","same","du",4,173,19,0.76611230721777,0.478360762212379,0.905299653161991,12.0631840869208
"117","svmPoly","max","rms",4,173,19,0.813121026466947,0.569093347955645,0.925513190571089,12.9812797979795
"118","svmPoly","same","rms",4,173,19,0.754456839791919,0.456776225416463,0.900188394410188,12.3777780015745
"119","svmPoly","max","hudgins",4,173,19,0.809341689946136,0.561572274640352,0.923911424906682,13.125531692743
"120","svmPoly","same","hudgins",4,173,19,0.773202520291825,0.491663304085967,0.908389323367614,11.9023191019132
"121","ranger","max","all",4,173,19,0.891516941312192,0.734890904476178,0.957856388744604,10.4309850212344
"122","ranger","same","all",4,173,19,0.748051852206609,0.44506232606798,0.897362424861617,12.3867637893172
"123","ranger","max","du",4,173,19,0.908675272764764,0.773860433671021,0.964717793033095,9.47517278028828
"124","ranger","same","du",4,173,19,0.757059510582384,0.461565856723734,0.901333232860038,12.1805795895455
"125","ranger","max","rms",4,173,19,0.87951365739491,0.70823067909254,0.953010994639027,10.9841502253546
"126","ranger","same","rms",4,173,19,0.640198888879023,0.26224686982962,0.847862955751465,14.3706917875334
"127","ranger","max","hudgins",4,173,19,0.898260343205875,0.750083950626815,0.960562051643378,10.2785450082835
"128","ranger","same","hudgins",4,173,19,0.758493294619096,0.464211794425474,0.901963052351216,12.1564513801741
"129","lm","max","all",5,173,19,0.802229362952966,0.547528540716372,0.920886135073229,14.9017342486707
"130","lm","same","all",5,173,19,0.841962605991821,0.627866611382711,0.937605871830017,11.9325119710707
"131","lm","max","du",5,173,19,0.811559429355023,0.565980731681846,0.92485183860414,14.5897698459934
"132","lm","same","du",5,173,19,0.842187462830931,0.62833462093109,0.937699249387791,11.9056940130079
"133","lm","max","rms",5,173,19,0.745784280229381,0.440939932808546,0.896358996730749,16.7052938698413
"134","lm","same","rms",5,173,19,0.82477143288993,0.592538075254179,0.93042571393113,12.3722349659502
"135","lm","max","hudgins",5,173,19,0.805183404470173,0.553344111091437,0.922144399916104,14.9250940008534
"136","lm","same","hudgins",5,173,19,0.812239505445783,0.567335417113815,0.925139941860237,12.8049192453542
"137","knn","max","all",5,173,19,0.810539355890272,0.563951267938115,0.924419457039494,14.1143450730845
"138","knn","same","all",5,173,19,0.905138423122322,0.765743242288623,0.963309651777293,9.3165387745043
"139","knn","max","du",5,173,19,0.810539355890272,0.563951267938115,0.924419457039494,14.1143450730845
"140","knn","same","du",5,173,19,0.916675185755496,0.792385351936137,0.967891049348826,8.81087844357011
"141","knn","max","rms",5,173,19,0.87776904184223,0.704395992521861,0.952303597416474,11.8201433778819
"142","knn","same","rms",5,173,19,0.906044845857938,0.767819290011699,0.963670835241939,9.25020625659091
"143","knn","max","hudgins",5,173,19,0.670886882425197,0.311642140139239,0.862325661369429,17.833483630563
"144","knn","same","hudgins",5,173,19,0.871361436454829,0.690398306988656,0.949698583985946,10.7893770102961
"145","svmPoly","max","all",5,173,19,0.789501351267029,0.522749393960372,0.915436253979116,15.8310994804242
