"","method","datalength","featureset","seconds","ntraindata","ntestdata","cor","corll","corul","rmse"
"28","ranger","same","du",1,993,110,0.448778620513033,0.285530252062409,0.586718177569734,20.3435834290861
"29","ranger","max","rms",1,6949,772,0.605835952186277,0.559179190591856,0.648667261460171,16.6112944958375
"30","ranger","same","rms",1,993,110,0.414842552287255,0.246769051897167,0.558687555903059,20.7210802881588
"31","ranger","max","hudgins",1,6949,772,0.56432038163418,0.514235994766545,0.610568906041079,17.2718125815381
"32","ranger","same","hudgins",1,993,110,0.367863333614354,0.193983295302942,0.519333488179517,21.1679183202984
"33","lm","max","all",2,2978,331,0.361926089844827,0.264443153252435,0.452087920609899,19.9585017939254
"34","lm","same","all",2,993,110,0.259282407069799,0.0757168755304211,0.425849551111089,23.715236766023
"35","lm","max","du",2,2978,331,0.343428238364165,0.244686559471867,0.435119756869209,20.0979796850037
"36","lm","same","du",2,993,110,0.269315726053731,0.0864328136533089,0.434639590464736,23.6186205925699
"37","lm","max","rms",2,2978,331,0.282144107123429,0.179812765564217,0.378434325275094,20.547768813209
"38","lm","same","rms",2,993,110,0.157553496071665,-0.030590403651109,0.334914792365689,24.1888502680947
"39","lm","max","hudgins",2,2978,331,0.328408340309398,0.228704677628293,0.421293855482226,20.2446833257258
"40","lm","same","hudgins",2,993,110,0.312337882594718,0.132866813651122,0.471976910363911,23.3670806984513
"41","knn","max","all",2,2978,331,0.504000044174486,0.418962471663991,0.580273369485931,18.8069025783659
"42","knn","same","all",2,993,110,0.449062449337898,0.285856704383876,0.586951229780581,21.9958418680378
"43","knn","max","du",2,2978,331,0.504000044174486,0.418962471663991,0.580273369485931,18.8069025783659
"44","knn","same","du",2,993,110,0.449062449337898,0.285856704383876,0.586951229780581,21.9958418680378
"45","knn","max","rms",2,2978,331,0.558010958140437,0.479025788444385,0.628032790523468,17.8461163439391
"46","knn","same","rms",2,993,110,0.399703706086907,0.229649460045585,0.546076222640416,22.9157349672863
"47","knn","max","hudgins",2,2978,331,0.324060048922539,0.22408789990358,0.417283153598828,20.6994717022711
"48","knn","same","hudgins",2,993,110,0.263674263587725,0.0804023208628225,0.429701063434641,24.091708899753
"49","svmPoly","max","all",2,2978,331,0.390921378260345,0.29557704054492,0.478554764366065,20.1378291418401
"50","svmPoly","same","all",2,993,110,0.348272069758963,0.172264114181695,0.502730021968946,23.412836058289
"51","svmPoly","max","du",2,2978,331,0.369023798814839,0.272045630612208,0.458581404240187,20.286693581451
"52","svmPoly","same","du",2,993,110,0.299286445287255,0.118696598032879,0.460710246863364,23.8258072085829
"53","svmPoly","max","rms",2,2978,331,0.332487252521952,0.233039523860356,0.425052792494879,20.6433650071265
"54","svmPoly","same","rms",2,993,110,0.261147551145216,0.0777057118060501,0.427485958297198,24.0600481006254
"55","svmPoly","max","hudgins",2,2978,331,0.343728534913215,0.245006637218472,0.43539574133646,20.523553894053
"56","svmPoly","same","hudgins",2,993,110,0.268465418852746,0.0855230114356669,0.433895868734351,24.0694569276274
"57","ranger","max","all",2,2978,331,0.629136724277962,0.559266446406239,0.690131574138329,16.6340575379512
"58","ranger","same","all",2,993,110,0.522294602285734,0.371371487759251,0.646328262132738,20.9563963379042
"59","ranger","max","du",2,2978,331,0.623535299973209,0.552899336810561,0.685273427663552,16.7318080172186
"60","ranger","same","du",2,993,110,0.548669670147278,0.402810413686766,0.667351625558688,20.6108405355681
"61","ranger","max","rms",2,2978,331,0.606237745360991,0.533289227178764,0.670236400665828,17.014692762069
"62","ranger","same","rms",2,993,110,0.546425335974144,0.400121715441477,0.66557001677156,20.680944860236
